arc_i,arc_j,capacity_1,capacity_2,capacity_3,capacity_4,capacity_5,capacity_6,capacity_7,capacity_8,capacity_9,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14
70,71,1842222511,404973168,6089720761,53772589,4448,1186235925,427062863,336493556,96530547,1079902024,21117512,193702608,16060991,228824612
72,71,1838759304,404211856,6078272652,53671501,4439,1184005911,426260024,335860980,96349079,1077871908,21077813,193338465,16030798,228394443
71,72,1838759304,404211856,6078272652,53671501,4439,1184005911,426260024,335860980,96349079,1077871908,21077813,193338465,16030798,228394443
76,72,1070945896,235424521,3540159465,31259814,2585,689598834,248266003,195615020,56116453,627783362,12276320,112605840,9336794,133023442
74,73,1406876994,309271779,4650626073,41065299,3396,905910129,326141339,256974953,73718894,824704564,16127119,147927702,12265531,174749836
95,73,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
67,74,1395876218,306853494,4614261490,40744197,3370,898826557,323591146,254965592,73142465,818255962,16001017,146771013,12169624,173383417
73,74,1406876994,309271779,4650626073,41065299,3396,905910129,326141339,256974953,73718894,824704564,16127119,147927702,12265531,174749836
75,74,1688822804,371251527,5582636858,49295008,4077,1087459451,391501839,308474133,88492562,989979849,19359082,177573219,14723611,209770655
50,75,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
74,75,1688822804,371251527,5582636858,49295008,4077,1087459451,391501839,308474133,88492562,989979849,19359082,177573219,14723611,209770655
143,75,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
72,76,1070945896,235424521,3540159465,31259814,2585,689598834,248266003,195615020,56116453,627783362,12276320,112605840,9336794,133023442
90,77,2030458008,446352711,6711959176,59266990,4902,1307443709,470699497,370875957,106393892,1190244772,23275268,213494847,17702078,252205563
91,77,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
151,77,703642215,154680672,2325986454,20538595,1698,453086241,163117895,128524687,36870121,412471701,8065895,73985271,6134542,87400222
79,78,2368426287,520647799,7829159966,69131938,5718,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998
